word	onset	duration
tout	423.15	0.3
révélé.	423.5	0.3
ainsi,	423.85	0.3
quand	424.2	0.3
il	424.55	0.3
aperçut	424.9	0.3
pour	425.25	0.3
la	425.6	0.3
première	425.95	0.3
fois	426.3	0.3
mon	426.65	0.3
avion,	427	0.3
je	427.35	0.3
ne	427.7	0.3
dessinerai	428.05	0.3
pas	428.4	0.3
mon	428.75	0.3
avion,	429.1	0.3
c'est	429.45	0.3
un	429.8	0.3
dessin	430.15	0.3
beaucoup	430.5	0.3
trop	430.85	0.3
compliqué	431.2	0.3
pour	431.55	0.3
moi,	431.9	0.3
il	432.25	0.3
me	432.6	0.3
demanda	432.95	0.3
:	433.3	0.3
"qu'est-ce	435.4	0.3
que	435.75	0.3
c'est	436.1	0.3
que	436.45	0.3
cette	436.8	0.3
chose-là?	437.15	0.3
-	437.85	0.3
ce	438.2	0.3
n'est	438.55	0.3
pas	438.9	0.3
une	439.25	0.3
chose.	439.6	0.3
ça	439.95	0.3
vole.	440.3	0.3
c'est	440.65	0.3
un	441	0.3
avion.	441.35	0.3
c'est	441.7	0.3
mon	442.05	0.3
avion."	442.4	0.3
et	443.1	0.3
j'étais	443.45	0.3
fier	443.8	0.3
de	444.15	0.3
lui	444.5	0.3
apprendre	444.85	0.3
que	445.2	0.3
je	445.55	0.3
volais.	445.9	0.3
alors	446.25	0.3
il	446.6	0.3
s'écria	446.95	0.3
:	447.3	0.3
"comment!	448	0.3
tu	448.35	0.3
es	448.7	0.3
tombé	449.05	0.3
du	449.4	0.3
ciel!	449.75	0.3
-	450.8	0.3
oui,	451.15	0.3
fis-je	451.5	0.3
modestement.	451.85	0.3
-	452.55	0.3
ah!	452.9	0.3
ça	453.25	0.3
c'est	453.6	0.3
drôle!..."	453.95	0.3
et	454.65	0.3
le	455	0.3
petit	455.35	0.3
prince	455.7	0.3
eut	456.05	0.3
un	456.4	0.3
très	456.75	0.3
joli	457.1	0.3
éclat	457.45	0.3
de	457.8	0.3
rire	458.15	0.3
qui	458.5	0.3
